Dataset,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
ArticularyWordRecognition,0.89,0.866666666666667,0.823333333333333,0.89,0.873333333333333
AtrialFibrillation,0.2,0.2,0.2,0.266666666666667,0.266666666666667
BasicMotions,1,1,1,1,1
CharacterTrajectories,0.930362116991644,0.954038997214485,0.931058495821727,0.947075208913649,0.959610027855153
Cricket,0.902777777777778,0.930555555555556,0.930555555555556,0.902777777777778,0.902777777777778
DuckDuckGeese,0.34,0.34,0.44,0.34,0.36
ERing,0.851851851851852,0.785185185185185,0.822222222222222,0.844444444444444,0.855555555555556
EigenWorms,0.66412213740458,0.580152671755725,0.610687022900763,0.603053435114504,0.572519083969466
Epilepsy,0.942028985507246,0.905797101449275,0.91304347826087,0.927536231884058,0.963768115942029
EthanolConcentration,0.349809885931559,0.254752851711027,0.319391634980989,0.29277566539924,0.281368821292776
FaceDetection,0.490635641316686,0.506810442678774,0.487514188422247,0.494324631101022,0.513620885357548
FingerMovements,0.53,0.55,0.51,0.52,0.52
HandMovementDirection,0.216216216216216,0.297297297297297,0.27027027027027,0.22972972972973,0.256756756756757
Handwriting,0.448235294117647,0.428235294117647,0.42,0.438823529411765,0.410588235294118
Heartbeat,0.663414634146341,0.682926829268293,0.692682926829268,0.721951219512195,0.692682926829268
InsectWingbeat,0,0,0,0,0
JapaneseVowels,0.891891891891892,0.867567567567568,0.894594594594595,0.867567567567568,0.82972972972973
LSST,0.453771289537713,0.411192214111922,0.443227899432279,0.439172749391727,0.415247364152474
Libras,0.605555555555555,0.611111111111111,0.572222222222222,0.661111111111111,0.594444444444444
MotorImagery,0.6,0.58,0.58,0.56,0.49
NATOPS,0.744444444444444,0.766666666666667,0.794444444444444,0.783333333333333,0.711111111111111
PEMS-SF,0.815028901734104,0.76878612716763,0.791907514450867,0.809248554913295,0.815028901734104
PenDigits,0.915951972555746,0.813607775871927,0.878502001143511,0.857061177815895,0.843624928530589
Phoneme,0.062928720548762,0.074560095436922,0.082016104980614,0.062928720548762,0.058455114822547
RacketSports,0.809210526315789,0.789473684210526,0.782894736842105,0.822368421052632,0.789473684210526
SelfRegulationSCP1,0.716723549488055,0.713310580204778,0.720136518771331,0.699658703071672,0.726962457337884
SelfRegulationSCP2,0.516666666666667,0.511111111111111,0.5,0.511111111111111,0.566666666666667
SpokenArabicDigits,0.390177353342428,0.54206457480673,0.446111869031378,0.472487494315598,0.439745338790359
StandWalkJump,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.2
UWaveGestureLibrary,0.5875,0.590625,0.615625,0.6125,0.628125
